Exchange,Symbol,ISIN,Security ID,SecurityType,Security Desc.,Expiry/Series,round,OptionType,StrikePrice,Multiplier,TickSize,TradingUnitFactor,Divider,BaseCurrency,SettleCurrency,Digits
MT5_CME_Future,DAX40,,AX-H24,Future,CME Future,20240313,$6 ,XX,0,25,0,1,1,EUR,EUR,2
MT5_CME_Future,DAX40,,AX-M24,Future,CME Future,20240619,$6 ,XX,0,25,0,1,1,EUR,EUR,2
MT5_CME_Future,BR,,BR-K24,Future,CME Future,20240325,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,BR,,BR-M24,Future,CME Future,20240425,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-J24,Future,CME Future,20240318,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-K24,Future,CME Future,20240417,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,DJ,,DJ-H24,Future,CME Future,20240318,$6 ,XX,0,10,0,1,1,USD,USD,2
MT5_CME_Future,DJ,,DJ-M24,Future,CME Future,20240619,$6 ,XX,0,10,0,1,1,USD,USD,2
MT5_CME_Future,S&P,,ES-H24,Future,CME Future,20240318,$6 ,XX,0,10,0,1,1,USD,USD,2
MT5_CME_Future,S&P,,ES-M24,Future,CME Future,20240619,$6 ,XX,0,50,0,1,1,USD,USD,2
MT5_CME_Future,GC,,GC-J24,Future,CME Future,20240321,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,GC,,GC-J24,Future,CME Future,20240321,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,GC,,GC-M24,Future,CME Future,20240524,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,GC,,GOLDAPR24,Future,CME Future,20240321,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,NG,,NG-J24,Future,CME Future,20240321,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-K24,Future,CME Future,20240423,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,NQ,,NQ-H24,Future,CME Future,20240313,$6 ,XX,0,20,0,1,1,USD,USD,2
MT5_CME_Future,NQ,,NQ-M24,Future,CME Future,20240619,$6 ,XX,0,20,0,1,1,USD,USD,2
MT5_CME_Future,SI,,SI-H24,Future,CME Future,20240223,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,SI,,SI-K24,Future,CME Future,20240424,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,HG,,HG-H24,Future,CME Future,20240215,$6 ,XX,0,25000,0,1,1,USD,USD,4
MT5_CME_Future,HG,,HG-K24,Future,CME Future,20240417,$6 ,XX,0,25000,0,1,1,USD,USD,4
MT5_CME_Future,BR,,BR-N24,Future,CME Future,20240529,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,HG,,HG-N24,Future,CME Future,20240613,$6 ,XX,0,25000,0,1,1,USD,USD,4
MT5_CME_Future,CL,,F.US.CLEM24,Future,CME Future,20240516,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,F.US.NGEM24,Future,CME Future,20240524,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,SI,,F.US.SIEN24,Future,CME Future,20240625,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,SI,,SI-N24.a,Future,CME Future,20240625,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,SI,,SI-K24.a,Future,CME Future,20240424,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,GC,,GC-M24.a,Future,CME Future,20240524,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,CL,,CL-M24.a,Future,CME Future,20240516,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-K24.a,Future,CME Future,20240423,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,SI,,SI-N24,Future,CME Future,20240625,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-M24.a,Future,CME Future,20240524,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-M24,Future,CME Future,20240516,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-N24.a,Future,CME Future,20240617,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-N24,Future,CME Future,20240617,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-N24.a,Future,CME Future,20240621,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-N24,Future,CME Future,20240621,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,GC,,GC-Q24.a,Future,CME Future,20240724,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,GC,,GC-Q24,Future,CME Future,20240724,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,BR,,BR-Q24,Future,CME Future,20240625,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,HG,,HG-U24,Future,CME Future,20240815,$6 ,XX,0,25000,0,1,1,USD,USD,4
MT5_CME_Future,SI,,SI-U24,Future,CME Future,20240826,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,NQ,,NQ-U24,Future,CME Future,20240918,$6 ,XX,0,20,0,1,1,USD,USD,2
MT5_CME_Future,S&P,,ES-U24,Future,CME Future,20240918,$6 ,XX,0,50,0,1,1,USD,USD,2
MT5_CME_Future,DJ,,DJ-U24,Future,CME Future,20240918,$6 ,XX,0,10,0,1,1,USD,USD,2
MT5_CME_Future,DAX40,,AX-U24,Future,CME Future,20240918,$6 ,XX,0,25,0,1,1,EUR,EUR,2
MT5_CME_Future,NG,,NG-Q24,Future,CME Future,20240724,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-Q24.a,Future,CME Future,20240724,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-Q24,Future,CME Future,20240717,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-Q24.a,Future,CME Future,20240717,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,SI,,SI-U24.a,Future,CME Future,20240826,$6 ,XX,0,5000,0.001,1,1,USD,USD,3
MT5_CME_Future,BR,,BR-U24,Future,CME Future,20240726,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-U24,Future,CME Future,20240815,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-U24.a,Future,CME Future,20240815,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-U24,Future,CME Future,20240823,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-U24.a,Future,CME Future,20240823,$6 ,XX,0,10000,0,1,1,USD,USD,3
MT5_CME_Future,GC,,GC-Z24,Future,CME Future,20241121,$6 ,XX,0,100,0,1,1,USD,USD,2
MT5_CME_Future,BR,,BR-V24,Future,CME Future,20240827,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,CL,,CL-V24,Future,CME Future,20240917,$6 ,XX,0,1000,0,1,1,USD,USD,3
MT5_CME_Future,HG,,HG-Z24,Future,CME Future,20241211,$6 ,XX,0,25000,0,1,1,USD,USD,4
MT5_CME_Future,BR,,BR-X24,Future,CME Future,20240926,$6 ,XX,0,1000,0.001,1,1,USD,USD,3
MT5_CME_Future,NG,,NG-V24,Future,CME Future,20240923,$6 ,XX,0,10000,0,1,1,USD,USD,3
