positionno,multiplier,date,basecurrency,sender,userid_id,userid,segment_id,segment,ctclid,membercode,accountcode,symbol,expirydate,exchange_id,exchange,token,securitytype_id,securitytype,strikeprice,opttype,bfqty,bfrate,bfamt,createddate,updateddate,buyqty,buyrate,buyamt,sellqty,sellrate,sellamt,netqty,netamt,netrate,cfqty,cfamt,cfrate,ltp,grossmtm,charges,netmtm,user_config_id,group_id,groupname,group_config_id,configname,cluster_id,clustername,buybrokrate,sellbrokrate,expirybuybrokrate,expirysellbrokrate,broktype,isusdlive,usdrate,usdcost,clientsharingrate,brokersharingrate,comsharingrate
s111372ActiveMT5MT535132265,30,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,SILVER,04Dec2024,35,MT5_MCX_Future,35132265,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772451,2024-08-12 10:56:21.772454,9.0,82347.33333333333,-22233780.0,0.0,0.0,0.0,9.0,-22233780.0,82347.33333333333,9.0,-22233780.0,82347.33333333333,0,-22233780.0,1556.3646,-22235336.3646,2774,208,neeraj_bansal,1432,neeraj_bansal_future_galaxy_mt5_mcx_future_b-700_s-700_ExB-700_ExS-700_80_0_20_1_0_false,67,galaxy,700.0,700.0,700.0,700.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT535132212,100,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,GOLD,03Apr2025,35,MT5_MCX_Future,35132212,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772489,2024-08-12 10:56:21.772489,12.0,69128.5,-82954200.0,3.0,68672.0,20601600.0,9.0,-62352600.0,69280.66666666667,9.0,-62352600.0,69280.66666666667,0,-62352600.0,7248.906,-62359848.906,2774,208,neeraj_bansal,1432,neeraj_bansal_future_galaxy_mt5_mcx_future_b-700_s-700_ExB-700_ExS-700_80_0_20_1_0_false,67,galaxy,700.0,700.0,700.0,700.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536133864,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,DRREDDY,29Aug2024,36,MT5_NSE,36133864,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772567,2024-08-12 10:56:21.772568,125.0,6856.0,-857000.0,500.0,6863.7034,3431851.7,-375.0,2574851.7,6866.2712,-375.0,2574851.7,6866.2712,0,2574851.7,857.77034,2573993.9296600004,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536133908,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,HDFCBANK,29Aug2024,36,MT5_NSE,36133908,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772596,2024-08-12 10:56:21.772596,1100.0,1638.85,-1802735.0,1100.0,1627.05,1789755.0,0.0,-12980.0,0.0,0.0,-12980.0,0.0,0,-12980.0,718.498,-13698.498,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536133912,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,HEROMOTOCO,29Aug2024,36,MT5_NSE,36133912,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772610,2024-08-12 10:56:21.772611,300.0,5468.0,-1640400.0,750.0,5447.97,4085977.5,-450.0,2445577.5,5434.616666666667,-450.0,2445577.5,5434.616666666667,0,2445577.5,1145.2755,2444432.2245,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536134136,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,TCS,29Aug2024,36,MT5_NSE,36134136,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772625,2024-08-12 10:56:21.772625,0.0,0.0,0.0,525.0,4371.433333333334,2295002.5000000005,-525.0,2295002.5000000005,4371.433333333334,-525.0,2295002.5000000005,4371.433333333334,0,2295002.5000000005,459.0005000000001,2294543.4995000004,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536133796,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,BANKNIFTY,28Aug2024,36,MT5_NSE,36133796,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772639,2024-08-12 10:56:21.772640,0.0,0.0,0.0,225.0,51970.540222222226,11693371.55,-225.0,11693371.55,51970.540222222226,-225.0,11693371.55,51970.540222222226,0,11693371.55,2338.67431,11691032.87569,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT536134050,1,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,NIFTY,29Aug2024,36,MT5_NSE,36134050,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772666,2024-08-12 10:56:21.772666,125.0,24963.528,-3120441.0,0.0,0.0,0.0,125.0,-3120441.0,24963.528,125.0,-3120441.0,24963.528,0,-3120441.0,624.0882,-3121065.0882,2775,208,neeraj_bansal,1433,neeraj_bansal_future_galaxy_mt5_nse_future_b-2000_s-2000_ExB-2000_ExS-2000_80_0_20_1_0_false,67,galaxy,2000.0,2000.0,2000.0,2000.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT535132181,2500,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,COPPER,29Aug2024,35,MT5_MCX_Future,35132181,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772774,2024-08-12 10:56:21.772775,9.0,792.9833333333333,-17842125.0,0.0,0.0,0.0,9.0,-17842125.0,792.9833333333333,9.0,-17842125.0,792.9833333333333,0,-17842125.0,1248.94875,-17843373.94875,2774,208,neeraj_bansal,1432,neeraj_bansal_future_galaxy_mt5_mcx_future_b-700_s-700_ExB-700_ExS-700_80_0_20_1_0_false,67,galaxy,700.0,700.0,700.0,700.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT535132260,1250,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,NATURALGAS,26Aug2024,35,MT5_MCX_Future,35132260,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772800,2024-08-12 10:56:21.772801,9.0,176.13333333333333,-1981500.0,0.0,0.0,0.0,9.0,-1981500.0,176.13333333333333,9.0,-1981500.0,176.13333333333333,0,-1981500.0,138.705,-1981638.705,2774,208,neeraj_bansal,1432,neeraj_bansal_future_galaxy_mt5_mcx_future_b-700_s-700_ExB-700_ExS-700_80_0_20_1_0_false,67,galaxy,700.0,700.0,700.0,700.0,CR,False,1.0,0.0,80.0,0.0,20.0
s111372ActiveMT5MT535132292,5000,2024-07-30,INR,s11,1372,70001,13,XX,MT5,MT5,Active,ZINC,29Aug2024,35,MT5_MCX_Future,35132292,30,Future,0.0,XX,0,0,0,2024-08-12 10:56:21.772825,2024-08-12 10:56:21.772826,3.0,249.85,-3747750.0,0.0,0.0,0.0,3.0,-3747750.0,249.85,3.0,-3747750.0,249.85,0,-3747750.0,262.3425,-3748012.3425,2774,208,neeraj_bansal,1432,neeraj_bansal_future_galaxy_mt5_mcx_future_b-700_s-700_ExB-700_ExS-700_80_0_20_1_0_false,67,galaxy,700.0,700.0,700.0,700.0,CR,False,1.0,0.0,80.0,0.0,20.0
