positionno,date,expirydate,multiplier,basecurrency,sender,userid_id,userid,segment_id,segment,ctclid,membercode,accountcode,symbol,exchange_id,exchange,token,securitytype_id,securitytype,strikeprice,opttype,createddate,updateddate,bfqty,bfrate,bfamt,buyqty,buyrate,buyamt,sellqty,sellrate,sellamt,netqty,netrate,netamt,cfqty,cfamt,cfrate,ltp,grossmtm,charges,netmtm,user_config_id,group_id,groupname,group_config_id,configname,cluster_id,clustername,buybrokrate,sellbrokrate,expirybuybrokrate,expirysellbrokrate,broktype,isusdlive,usdrate,usdcost,clientsharingrate,brokersharingrate,comsharingrate
s111412ActiveMT5MT536134080,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,POLYCAB,36,MT5_NSE,36134080,30,Future,0.00,XX,2024-08-09 08:08:27.569217,2024-08-09 08:08:27.569221,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111412ActiveMT5MT536134110,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,SIEMENS,36,MT5_NSE,36134110,30,Future,0.00,XX,2024-08-09 08:08:27.569289,2024-08-09 08:08:27.569290,-1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1200.0,0.0,0.0,0.0,0.0,0.0,0.0,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111412ActiveMT5MT536134158,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,VEDL,36,MT5_NSE,36134158,30,Future,0.00,XX,2024-08-09 08:08:27.569347,2024-08-09 08:08:27.569348,-4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4600.0,0.0,0.0,0.0,0.0,0.0,0.0,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111412ActiveMT5MT536133816,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,BRITANNIA,36,MT5_NSE,36133816,30,Future,0.00,XX,2024-08-09 08:08:27.569427,2024-08-09 08:08:27.569428,400.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111399ActiveMT5MT536133908,2024-08-08,29Aug2024,1,INR,s11,1399,80001,13,XX,MT5,MT5,Active,HDFCBANK,36,MT5_NSE,36133908,30,Future,0.0,XX,2024-08-09 08:08:27.578556,2024-08-09 08:08:27.578559,0.0,0.0,0.0,5500.0,1645.5,-9050250.0,4950.0,1632.65,8081617.5,550.0,1761.15,-968632.5,550.0,-968632.5,1761.15,0.0,-968632.5,856.5933749999999,-969489.093375,2777,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111408ActiveMT5MT536133862,2024-08-08,29Aug2024,1,INR,s11,1408,80010,13,XX,MT5,MT5,Active,DLF,36,MT5_NSE,36133862,30,Future,0.0,XX,2024-08-09 08:08:27.578589,2024-08-09 08:08:27.578589,0.0,0.0,0.0,8250.0,847.5,-6991875.0,8250.0,847.15,6988987.5,0.0,0.0,-2887.5,0.0,-2887.5,0.0,0.0,-2887.5,699.0431249999999,-3586.543125,2795,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111408ActiveMT5MT536134148,2024-08-08,29Aug2024,1,INR,s11,1408,80010,13,XX,MT5,MT5,Active,TVSMOTOR,36,MT5_NSE,36134148,30,Future,0.0,XX,2024-08-09 08:08:27.578625,2024-08-09 08:08:27.578626,0.0,0.0,0.0,5250.0,2524.5,-13253625.0,3500.0,2531.75,8861125.0,1750.0,2510.0,-4392500.0,1750.0,-4392500.0,2510.0,0.0,-4392500.0,1105.7375,-4393605.7375,2795,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111412ActiveMT5MT536133740,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,AARTIIND,36,MT5_NSE,36133740,30,Future,0.0,XX,2024-08-09 08:08:27.578641,2024-08-09 08:08:27.578642,0.0,0.0,0.0,10000.0,761.25,-7612500.0,0.0,0.0,0.0,10000.0,761.25,-7612500.0,10000.0,-7612500.0,761.25,0.0,-7612500.0,380.625,-7612880.625,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111408ActiveMT5MT536133898,2024-08-08,29Aug2024,1,INR,s11,1408,80010,13,XX,MT5,MT5,Active,HAL,36,MT5_NSE,36133898,30,Future,0.0,XX,2024-08-09 08:08:27.578657,2024-08-09 08:08:27.578657,0.0,0.0,0.0,1500.0,4701.85,-7052775.000000001,1500.0,4746.05,7119075.0,0.0,0.0,66299.99999999907,0.0,66299.99999999907,0.0,0.0,66299.99999999907,708.5925000000001,65591.40749999907,2795,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
s111412ActiveMT5MT536133932,2024-08-08,29Aug2024,1,INR,s11,1412,80014,13,XX,MT5,MT5,Active,IDEA,36,MT5_NSE,36133932,30,Future,0.0,XX,2024-08-09 08:08:27.578683,2024-08-09 08:08:27.578684,0.0,0.0,0.0,400000.0,16.31,-6524000.0,0.0,0.0,0.0,400000.0,16.31,-6524000.0,400000.0,-6524000.0,16.31,0.0,-6524000.0,326.2,-6524326.2,2803,207,jasmin,1435,jasmin_future_galaxy_mt5_nse_b-500_s-500_ExB-500_ExS-500_85_0_15_1_0_false,67,galaxy,500.0,500.0,500.0,500.0,CR,False,1.0,0.0,85.0,0.0,15.0
