exchange,symbol,scripcode,securitytype,security desc.,expirydate,opttype,strikeprice,multiplier,ticksize,lotsize,divider,basecurrency,settlecurrency,digits,token,settlement_price
MT5_MCX_Future,ALUMINIUM,ALUMINIUM,Future,MCX Future,0,XX,0,5000,0.05,1,1,INR,INR,0.0,35132169,
MT5_MCX_Future,COPPER,COPPER,Future,MCX Future,0,XX,0,2500,0.05,1,1,INR,INR,0.0,35132181,
MT5_MCX_Future,CRUDEOIL,CRUDEOIL,Future,MCX Future,0,XX,0,100,1.0,1,1,INR,INR,0.0,35132193,
MT5_MCX_Future,CRUDEOILMINI,CRUDEOILM,Future,MCX Future,0,XX,0,10,1.0,1,1,INR,INR,0.0,35132205,
MT5_MCX_Future,GOLD,GOLD,Future,MCX Future,03Apr2025,XX,0,100,1.0,1,1,INR,INR,0.0,35132212,
MT5_MCX_Future,GOLDMINI,GOLDM,Future,MCX Future,0,XX,0,10,1.0,1,1,INR,INR,0.0,35132224,
MT5_MCX_Future,LEAD,LEAD,Future,MCX Future,0,XX,0,5000,0.05,1,1,INR,INR,0.0,35132236,
MT5_MCX_Future,LEADMINI,LEADMINI,Future,MCX Future,0,XX,0,1000,0.05,1,1,INR,INR,0.0,35132248,
MT5_MCX_Future,NATURALGAS,NATURALGAS,Future,MCX Future,0,XX,0,1250,0.1,1,1,INR,INR,0.0,35132260,
MT5_MCX_Future,SILVER,SILVER,Future,MCX Future,04Dec2024,XX,0,30,1.0,1,1,INR,INR,0.0,35132265,
MT5_MCX_Future,SILVERMICRO,SILVERMICRO,Future,MCX Future,0,XX,0,1,1.0,1,1,INR,INR,0.0,35132272,
MT5_MCX_Future,SILVERMINI,SILVERM,Future,MCX Future,29Apr2025,XX,0,5,1.0,1,1,INR,INR,0.0,35132280,
MT5_MCX_Future,ZINC,ZINC,Future,MCX Future,0,XX,0,5000,0.05,1,1,INR,INR,0.0,35132292,
MT5_MCX_Future,ZINCMINI,ZINCMINI,Future,MCX Future,0,XX,0,1000,0.05,1,1,INR,INR,0.0,35132304,
MT5_NSE,AARTIIND,AARTIINDF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132452,
MT5_NSE,AARTIIND,AARTIINDG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132453,
MT5_NSE,ABB,ABBF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132454,
MT5_NSE,ABB,ABBG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132455,
MT5_NSE,ABBOTINDIA,ABBOTINDIAF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132456,
MT5_NSE,ABBOTINDIA,ABBOTINDIAG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132457,
MT5_NSE,ABCAPITAL,ABCAPITALF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132458,
MT5_NSE,ABCAPITAL,ABCAPITALG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132459,
MT5_NSE,ABFRL,ABFRLF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132460,
MT5_NSE,ABFRL,ABFRLG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132461,
MT5_NSE,ACC,ACCF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132462,
MT5_NSE,ACC,ACCG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132463,
MT5_NSE,ADANIENT,ADANIENTF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132464,
MT5_NSE,ADANIENT,ADANIENTG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132465,
MT5_NSE,ADANIPORTS,ADANIPORTSF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132466,
MT5_NSE,ADANIPORTS,ADANIPORTSG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132467,
MT5_NSE,ALKEM,ALKEMF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132468,
MT5_NSE,ALKEM,ALKEMG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132469,
MT5_NSE,AMARAJABAT,AMARAJABATF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132470,
MT5_NSE,AMARAJABAT,AMARAJABATG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132471,
MT5_NSE,AMBUJACEM,AMBUJACEMF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132472,
MT5_NSE,AMBUJACEM,AMBUJACEMG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132473,
MT5_NSE,APLLTD,APLLTDF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132474,
MT5_NSE,APLLTD,APLLTDG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132475,
MT5_NSE,APOLLOHOSP,APOLLOHOSPF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132476,
MT5_NSE,APOLLOHOSP,APOLLOHOSPG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132477,
MT5_NSE,APOLLOTYRE,APOLLOTYREF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132478,
MT5_NSE,APOLLOTYRE,APOLLOTYREG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132479,
MT5_NSE,ASHOKLEY,ASHOKLEYF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132480,
MT5_NSE,ASHOKLEY,ASHOKLEYG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132481,
MT5_NSE,ASIANPAINT,ASIANPAINTF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132482,
MT5_NSE,ASIANPAINT,ASIANPAINTG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132483,
MT5_NSE,ASTRAL,ASTRALF,Future,NSE Future,30Jan2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132484,
MT5_NSE,ASTRAL,ASTRALG,Future,NSE Future,27Feb2025,XX,0,1,1.0,1,1,INR,INR,2.0,36132485,
